timestamp,crowd_count,density_level
2026-03-02 10:44:03,0,Low
2026-03-02 10:44:05,1,Low
2026-03-02 10:44:06,1,Low
2026-03-02 10:44:07,1,Low
2026-03-02 10:44:08,1,Low
2026-03-02 10:44:09,1,Low
2026-03-02 10:44:10,2,Low
2026-03-02 10:44:11,2,Low
2026-03-02 10:44:12,2,Low
2026-03-02 10:44:13,3,Low
2026-03-02 10:44:14,3,Low
2026-03-02 10:44:15,3,Low
2026-03-02 10:44:16,2,Low
2026-03-02 10:44:17,3,Low
2026-03-02 10:44:19,3,Low
2026-03-02 10:44:20,3,Low
2026-03-02 10:44:21,2,Low
2026-03-02 10:44:22,2,Low
2026-03-02 10:44:23,2,Low
2026-03-02 10:44:24,2,Low
2026-03-02 10:44:25,2,Low
2026-03-02 10:44:26,2,Low
2026-03-02 10:44:27,2,Low
2026-03-02 10:44:28,2,Low
2026-03-02 10:44:29,3,Low
2026-03-02 10:44:30,4,Low
2026-03-02 10:44:31,4,Low
2026-03-02 10:44:32,4,Low
2026-03-02 10:44:33,3,Low
2026-03-02 10:44:34,2,Low
2026-03-02 10:44:35,2,Low
2026-03-02 10:44:36,2,Low
2026-03-02 10:44:38,2,Low
2026-03-02 10:44:39,2,Low
2026-03-02 10:44:40,2,Low
2026-03-02 10:44:41,2,Low
2026-03-02 10:44:42,2,Low
2026-03-02 10:44:43,2,Low
2026-03-02 10:44:44,2,Low
2026-03-02 10:44:45,2,Low
2026-03-02 10:44:46,2,Low
2026-03-02 10:44:47,2,Low
2026-03-02 10:44:48,2,Low
2026-03-02 10:44:49,2,Low
2026-03-02 10:44:50,2,Low
2026-03-02 10:44:51,2,Low
2026-03-02 10:44:52,2,Low
2026-03-02 10:44:54,2,Low
2026-03-02 10:44:55,2,Low
2026-03-02 10:44:56,2,Low
2026-03-02 10:44:57,2,Low
2026-03-02 10:44:58,2,Low
2026-03-02 10:44:59,3,Low
2026-03-02 10:45:00,3,Low
2026-03-02 10:45:01,3,Low
2026-03-02 10:45:02,3,Low
2026-03-02 10:45:03,2,Low
2026-03-02 10:45:04,2,Low
2026-03-02 10:45:05,3,Low
2026-03-02 10:45:06,3,Low
2026-03-02 10:45:07,3,Low
2026-03-02 10:45:08,3,Low
2026-03-02 10:45:09,3,Low
2026-03-02 10:45:11,3,Low
2026-03-02 10:45:12,3,Low
2026-03-02 10:45:13,3,Low
2026-03-02 10:45:14,3,Low
2026-03-02 10:45:15,2,Low
2026-03-02 10:45:16,2,Low
2026-03-02 10:45:17,3,Low
2026-03-02 10:45:18,3,Low
2026-03-02 10:45:19,4,Low
2026-03-02 10:45:20,4,Low
2026-03-02 10:45:21,4,Low
2026-03-02 10:45:22,4,Low
2026-03-02 10:45:24,3,Low
2026-03-02 10:45:45,0,Low
2026-03-02 10:45:46,1,Low
2026-03-02 10:45:47,1,Low
2026-03-02 10:45:48,4,Low
2026-03-02 10:45:49,5,Low
2026-03-02 10:45:50,3,Low
2026-03-02 10:45:51,5,Low
2026-03-02 10:45:52,7,Low
2026-03-02 10:45:53,3,Low
2026-03-02 10:45:54,3,Low
2026-03-02 10:45:55,3,Low
2026-03-02 10:45:56,3,Low
2026-03-02 10:45:57,3,Low
2026-03-02 10:45:58,4,Low
2026-03-02 10:45:59,4,Low
2026-03-02 10:46:00,3,Low
2026-03-02 10:46:01,4,Low
2026-03-02 10:46:02,4,Low
2026-03-02 10:46:03,2,Low
2026-03-02 10:46:04,2,Low
2026-03-02 10:46:05,2,Low
2026-03-02 10:46:06,2,Low
2026-03-02 10:46:07,4,Low
2026-03-02 10:46:08,5,Low
2026-03-02 10:46:09,6,Low
2026-03-02 10:46:10,6,Low
2026-03-02 10:46:12,5,Low
2026-03-02 10:46:13,3,Low
2026-03-02 10:46:14,3,Low
2026-03-02 10:46:15,3,Low
2026-03-02 10:46:16,3,Low
2026-03-02 10:46:17,3,Low
2026-03-02 10:46:18,3,Low
2026-03-02 10:46:19,3,Low
2026-03-02 10:46:20,3,Low
2026-03-02 10:46:21,3,Low
2026-03-02 10:46:22,3,Low
2026-03-02 10:46:23,3,Low
2026-03-02 10:46:24,3,Low
2026-03-02 10:46:25,2,Low
2026-03-02 10:46:26,3,Low
2026-03-02 10:46:27,3,Low
2026-03-02 10:46:28,4,Low
2026-03-02 10:46:29,5,Low
2026-03-02 10:46:30,4,Low
2026-03-02 10:46:31,2,Low
2026-03-02 10:46:32,2,Low
2026-03-02 10:46:33,2,Low
2026-03-02 10:46:34,2,Low
2026-03-02 10:46:35,2,Low
2026-03-02 10:46:36,3,Low
2026-03-02 10:46:37,4,Low
2026-03-02 10:46:38,4,Low
2026-03-02 10:46:39,2,Low
2026-03-02 10:46:40,3,Low
2026-03-02 10:46:41,3,Low
2026-03-02 10:46:43,3,Low
2026-03-02 10:46:44,3,Low
2026-03-02 10:46:45,3,Low
2026-03-02 10:46:46,3,Low
2026-03-02 10:46:47,2,Low
2026-03-02 10:46:48,3,Low
2026-03-02 10:46:49,3,Low
2026-03-02 10:46:50,3,Low
2026-03-02 10:46:51,5,Low
2026-03-02 10:46:52,5,Low
2026-03-02 10:46:53,5,Low
2026-03-02 10:46:54,4,Low
2026-03-02 10:46:55,3,Low
2026-03-02 10:46:56,4,Low
2026-03-02 10:46:57,4,Low
2026-03-02 10:46:58,3,Low
2026-03-02 10:46:59,2,Low
2026-03-02 10:47:00,2,Low
2026-03-02 10:47:01,2,Low
2026-03-02 10:47:02,2,Low
2026-03-02 10:47:03,3,Low
2026-03-02 10:47:04,4,Low
2026-03-02 10:47:05,4,Low
2026-03-02 10:47:06,4,Low
2026-03-02 10:47:07,5,Low
2026-03-02 10:47:08,4,Low
2026-03-02 10:47:09,3,Low
2026-03-02 10:47:10,3,Low
2026-03-02 10:47:12,3,Low
2026-03-02 10:47:13,3,Low
2026-03-02 10:47:14,3,Low
2026-03-02 10:47:15,3,Low
2026-03-02 10:47:16,3,Low
2026-03-02 10:47:17,3,Low
2026-03-02 10:47:18,3,Low
2026-03-02 10:47:19,4,Low
2026-03-02 10:47:20,4,Low
2026-03-02 10:47:21,4,Low
2026-03-02 10:47:22,4,Low
2026-03-02 10:47:24,3,Low
2026-03-02 10:47:25,3,Low
2026-03-02 10:47:26,4,Low
2026-03-02 10:47:27,4,Low
2026-03-02 10:47:28,4,Low
2026-03-02 10:47:29,4,Low
2026-03-02 10:47:30,4,Low
2026-03-02 10:47:31,4,Low
2026-03-02 10:47:32,3,Low
2026-03-02 10:47:33,3,Low
2026-03-02 10:47:34,3,Low
2026-03-02 10:47:35,3,Low
2026-03-02 10:47:36,4,Low
2026-03-02 10:47:37,4,Low
2026-03-02 10:47:39,2,Low
2026-03-02 10:47:40,2,Low
2026-03-02 10:47:41,2,Low
2026-03-02 10:47:42,2,Low
2026-03-02 10:47:43,2,Low
2026-03-02 10:47:44,2,Low
2026-03-02 10:47:45,2,Low
2026-03-02 10:47:46,2,Low
2026-03-02 10:47:47,2,Low
2026-03-02 10:47:48,3,Low
2026-03-02 10:47:49,5,Low
2026-03-02 10:47:50,6,Low
